question,option1,option2,option3,option4,answer,explanation,course/subject,instruction,tags(Coma Seprate),topic(Topic id),isShow
The first effective vaccine against polio was prepared by,JH Gibbon,Jonas E Salk,Robert Edwards,James Simpson,2,,"1,74,175",,"disease,bilogy,science",5,TRUE
Which of the following disease is not transmitted by Aedes aegypti?,Chikungunya,Dengue,Chicken-pox,Yellow fever,3,,"1,74,175",,"disease,bilogy,science",5,TRUE
Insects that can transmit diseases to human are referred to as,carriers,reservoirs,vectors,incubators,3,,"1,74,175",,"disease,bilogy,science",5,TRUE
Which of the following diseases are transmitted from one person to another?1. AIDS 2. Cirrhosis 3. Hepatitis B 4. Syphilis Select the correct answer using the code given below:,"1, 2, 3 and 4","1, 3 and 4 only",1 and 2 only,"2, 3 and 4 only",2,,"1,74,175",,"disease,bilogy,science",5,TRUE
The anti-malarial drug Quinine is made from a plant. The plant is,Neem,Eucalyptus,Cinnamon,Cinchona,4,,"1,74,175",,"disease,bilogy,science",5,TRUE
"To suspect HIV/AIDS in a young individual, which one among the following symptoms is mostly associated with?",Long standing jaundice and chronic liver disease,Sever anaemia,Chronic diarrhoea,Severe persistent headache,3,,"1,74,175",,"disease,bilogy,science",5,TRUE
Which one of the following diseases is caused by virus?,Tuberculosis,Typhoid,Influenza,Diphtheria,3,,"1,74,175",,"disease,bilogy,science",5,TRUE
Malaria in human body is caused by which one of the following organisms?,Bacteria,Virus,Mosquito,Protozoan,4,,"1,74,175",,"disease,bilogy,science",5,TRUE
Typhoid is caused by,Pseudomonas sp.,Staphylococcus,Bacillus,Salmonella typhi,4,,"1,74,175",,"disease,bilogy,science",5,TRUE
 BCG immunization is for,Measles,Tuberculosis,Diphtheria,Leprosy,2,,"1,74,175",,"disease,bilogy,science",5,TRUE
 Ringworm is a ......... disease.,Bacterial,Protozoan,Viral,Fungal,4,,"1,74,175",,"disease,bilogy,science",5,TRUE
,,,,,,,,,,,
