question,option1,option2,option3,option4,answer,explanation,course/subject,instruction,tags(Coma Seprate),topic(Topic id),isShow
I __________ working all afternoon and have just finished the assignment.,have been,had been,shall be,am,1,,"192.193,194",,"english,grammar,tenses",8,True
Rohan __________ the movie before he read the review.,watches,have watched,had watched,was watching,3,,"192.193,194",,"english,grammar,tenses",8,True
He __________ in the States but he still does not have a command over the English language.,have been living,has been living,have lived,living,2,,"192.193,194",,"english,grammar,tenses",8,True
"By the next month, we shall __________ the project.",has completed,completing,completed,have completed,4,,"192.193,194",,"english,grammar,tenses",8,True
Every boy and girl  __________ in the class today.,are present,is present,have present,had present,2,,"192.193,194",,"english,grammar,tenses",8,True
He __________ daily for a year now.,exercises,was exercising,has been exercising,have been exercising,1,,"192.193,194",,"english,grammar,tenses",8,True
I __________ this book since morning.,had been reading,has been reading,have had read,shall be reading,1,,"192.193,194",,"english,grammar,tenses",8,True
Which tense is used,Present continuous tense,Present perfect tense,Past perfect tense,Present indefinite tense,4,,"192.193,194",,"english,grammar,tenses",8,True
"According to the prevailing rate, two dozen __________ rupees one hundred.",costs,cost,costing,costed,2,,"192.193,194",,"english,grammar,tenses",8,True
The Council __________ made its decision.,have,have had,has,having,3,,"192.193,194",,"english,grammar,tenses",8,True
What do tenses as the form of a verb help to determine?,The time of the action,The state of the action,Both (A) and (B),The number of action,3,,"192.193,194",,"english,grammar,tenses",8,True
Which tense is used to show the completion of an action by a certain time in the future?,Future perfect tense,Present indefinite tense,Future perfect continuous tense,Both (A) and (C),1,,"192.193,194",,"english,grammar,tenses",8,True
Which tense is used to show the completion of an action by a certain time in the future?,Past perfect tense,Past indefinite tense,Present perfect tense,Present indefinite tense,1,,"192.193,194",,"english,grammar,tenses",8,True
The wise leader and politician __________ assassinated.,are,has been,have been,have had been,2,,"192.193,194",,"english,grammar,tenses",8,True
Neither of the paintings __________ sold.,have been,were,are,was,2,,"192.193,194",,"english,grammar,tenses",8,True
Sita or her brothers __________ to be blamed.,is,has,are,was,1,,"192.193,194",,"english,grammar,tenses",8,True
"The Chief guest, with his wife, __________.",has left,are leaving,have left,left,1,,"192.193,194",,"english,grammar,tenses",8,True
The quality of products __________ over time.,are degrading,have been degrading,have degrading,were degraded,2,,"192.193,194",,"english,grammar,tenses",8,True
The news __________ not updated timely.,were,have,is,are,3,,"192.193,194",,"english,grammar,tenses",8,True
They __________ into their cars and drove away.,has got,have got,gets,got,4,,"192.193,194",,"english,grammar,tenses",8,True
Choose the sentence with the future perfect tense.,They shall have arrived by then.,They shall be arriving by then.,They shall arrive by then.,They shall have been arriving by then.,1,,"192.193,194",,"english,grammar,tenses",8,True
Choose the sentence with the future perfect tense.,Present continuous tense,Future perfect continuous tense,Future continuous tense,Present perfect continuous tense,1,,"192.193,194",,"english,grammar,tenses",8,True
Which tense is used to express an action going at some point in the past?,Past indefinite tense,Past perfect continuous tense,Past continuous tense,Past perfect continuous tense,1,,"192.193,194",,"english,grammar,tenses",8,True
Each of the four army soldiers __________ for the mission.,were ready,are ready,was ready,have been ready,3,,"192.193,194",,"english,grammar,tenses",8,True
The thief and the eye-witness __________.,has escaped,has been escaping,was escaping,have escaped,4,,"192.193,194",,"english,grammar,tenses",8,True
"Back in my native place, I __________ a smartphone.",did not have,do not have,did not had,do not had,1,,"192.193,194",,"english,grammar,tenses",8,True
