question,option1,option2,option3,option4,answer,explanation,course/subject,instruction,tags(Coma Seprate),topic(Topic id),isShow
Meera  __________ for the charitable cause.,came to contribute,come to contributed,came to contributed,comes to contributed,3,,"192.193,194",,"english,grammar,tenses",8,True
Fill in the blank with the past continuous tense form of the verb given in,did plan,has been planning,had been planning,was planning,2,,"192.193,194",,"english,grammar,tenses",8,True
The crowd that __________ due to the quarrel has dispersed now.,have gathered,has been gathered,had gathered,has been gathering,3,,"192.193,194",,"english,grammar,tenses",8,True
The crowd that __________ due to the quarrel has dispersed now.,Present perfect tense,Past indefinite tense,Past perfect tense,Present indefinite tense,3,,"192.193,194",,"english,grammar,tenses",8,True
The stars __________ bright at night.,shines,shine,has shine,shining,2,,"192.193,194",,"english,grammar,tenses",8,True
The stars __________ bright at night.,Future perfect tense,Present indefinite tense,Past perfect tense,Future indefinite tense,4,,"192.193,194",,"english,grammar,tenses",8,True
Which tense is used to express an action completed in the immediate past?,Past indefinite tense,Present indefinite tense,Present perfect tense,Past perfect tense,3,,"192.193,194",,"english,grammar,tenses",8,True
Which tense is used to express an action completed in the immediate past?,George has been travelling around the world.,George had been travelling around the world.,George shall have been travelling around the world.,George was travelling around the world.,2,,"192.193,194",,"english,grammar,tenses",8,True
You should not __________ back with your teacher.,talk,talks,had talked,talked,1,,"192.193,194",,"english,grammar,tenses",8,True
Pentagon __________ five sides.,have had,had,has,have,3,,"192.193,194",,"english,grammar,tenses",8,True
Pentagon __________ five sides.,Past perfect tense,Present perfect tense,Past indefinite tense,Present indefinite tense,2,,"192.193,194",,"english,grammar,tenses",8,True
Pentagon __________ five sides.,Present indefinite tense,Future perfect continuous tense,Future perfect tense,Present continuous tense,4,,"192.193,194",,"english,grammar,tenses",8,True
Fill in the blank with the future perfect tense form of the verb given in the st),would adjust,would have adjusted,has adjusted,had adjusted,2,,"192.193,194",,"english,grammar,tenses",8,True
Fill in the blank with the future perfect tense form of the verb given in the st),He had a lot of experience.,He will have a lot of experience.,He will have had a lot of experience.,He will be having a lot of experience.,3,,"192.193,194",,"english,grammar,tenses",8,True
I probably  __________ left.,should have,will,has,having,1,,"192.193,194",,"english,grammar,tenses",8,True
Fill in the blank with the present perfect tense form of the verb given in the,had been,would have been,have been,have had been,3,,"192.193,194",,"english,grammar,tenses",8,True
"Ideinformed, the registrations had been closed",Past perfect tense,Present perfect tense,Past indefinite tense,Present indefinite tense,1,,"192.193,194",,"english,grammar,tenses",8,True
Choose the correct sentence.,Harry inviting me to his farmhouse once.,Harry shall invited me to his farmhouse once.,Harry had invited me to his farmhouse once.,Harry has been inviting me to his farmhouse once.,3,,"192.193,194",,"english,grammar,tenses",8,True
Has the itinerary __________ yet?,been deciding,been decided,decided,be decided,2,,"192.193,194",,"english,grammar,tenses",8,True
It is a tradition that __________ ever since.,have been celebrated,had been celebrated,has been celebrated,has been celebrating,3,,"192.193,194",,"english,grammar,tenses",8,True
Jackson and Kate  __________ all this time.,have been collaborating,have to collaborate,collaborate,collaborates,1,,"192.193,194",,"english,grammar,tenses",8,True
Jackson and Kate  __________ all this time.,Present perfect tense,Present indefinite tense,Past indefinite tense,Past perfect tense,3,,"192.193,194",,"english,grammar,tenses",8,True
